nome,cpf,idade,data,endereco,bairro,estado
Laura Fogaça,196.***.***-80,34.0,1989-12-12,"chácara de da mota, 4",pompéia,PA
Sr. Vitor Da Mata,062.***.***-78,60.0,1963-10-06,Endereço inválido,Desconhecido,Desconhecido
Sophie Pinto,023.***.***-40,29.0,1995-01-27,residencial noah mendes,vila atila de paiva,SC
Sr. Kaique Peixoto,726.***.***-47,62.0,1962-03-20,"fazenda moraes, 80",vila vista alegre,ES
Luiz Henrique Mendes,248.***.***-76,90.0,1934-01-18,"travessa leandro da mata, 898",vila sesc,RO
Sr. Felipe Barros,569.***.***-57,48.0,1975-04-08,"área raquel moura, 8",mangabeiras,TO
Ana Beatriz Pereira,798.***.***-01,54.0,1970-01-01,condomínio de santos,jaraguá,MG
Sr. Rafael Silva,238.***.***-15,26.0,1997-04-26,"estação lara almeida, 67",sagrada família,PE
Dra. Olivia Mendes,189.***.***-05,90.0,1933-10-10,residencial de mendes,jardim guanabara,RR
Eduardo Sales,052.***.***-74,39.0,1984-12-11,"aeroporto emanuel barros, 4",tres marias,DF
André Rodrigues,375.***.***-91,73.0,1951-02-18,"trecho gomes, 3",barreiro,GO
Sophia Cavalcanti,092.***.***-56,91.0,1932-05-25,"alameda paulo da cruz, 70",vila madre gertrudes 3ª seção,PR
Carolina Sales,519.***.***-40,32.0,1992-02-06,"residencial pinto, 95",etelvina carneiro,DF
Lucas Monteiro,654.***.***-37,76.0,1947-06-29,"lagoa de silveira, 91",trevo,PI
João Felipe Dias,850.***.***-42,52.0,1972-04-03,"condomínio moura, 504",santa helena,SE
Dr. Ian Fogaça,248.***.***-32,93.0,1931-01-25,distrito de cavalcanti,vila barragem santa lúcia,RJ
Lorena Barros,785.***.***-10,83.0,1940-04-24,"favela letícia jesus, 34",novo ouro preto,MG
Sra. Ana Clara Teixeira,760.***.***-59,49.0,1974-11-23,"feira de da conceição, 796",mangabeiras,SE
Natália Monteiro,481.***.***-60,81.0,1942-10-22,morro de ramos,conjunto taquaril,AM
Eduarda Duarte,893.***.***-30,20.0,2003-10-10,"quadra lopes, 69",vila da paz,CE
Larissa Carvalho,632.***.***-37,91.0,1932-05-21,"jardim de carvalho, 5",santo andré,AL
Lara Moraes,549.***.***-09,19.0,2005-09-02,"vereda araújo, 18",garças,PI
Sophie Da Rosa,254.***.***-50,97.0,1926-10-06,"pátio fernandes, 59",vila ouro minas,AM
Olivia Martins,391.***.***-39,82.0,1941-04-13,"jardim vinicius caldeira, 28",jonas veiga,DF
Thomas Barros,105.***.***-12,72.0,1951-07-31,"passarela de araújo, 123",andiroba,AM
Davi Luiz Azevedo,478.***.***-31,59.0,1964-11-30,"rodovia eduarda ramos, 87",engenho nogueira,PB
Danilo Santos,297.***.***-55,97.0,1926-12-17,"viela ana júlia fernandes, 25",pirineus,AC
Sr. Enzo Porto,496.***.***-67,98.0,1925-04-20,"vereda cauê barbosa, 141",conjunto providencia,MA
Bianca Alves,304.***.***-57,67.0,1956-11-22,"campo rodrigues, 351",brasil industrial,MS
Alexia Das Neves,267.***.***-00,85.0,1938-04-16,"residencial de sales, 5",vila cloris,SE
Esther Campos,523.***.***-53,58.0,1965-07-25,"área de castro, 108",nova vista,PI
Ana Júlia Freitas,584.***.***-17,58.0,1965-06-28,"estrada fernanda jesus, 2",santa margarida,AC
Maria Vitória Da Mata,826.***.***-76,57.0,1967-01-02,"lagoa pietro da cruz, 524",vila santa monica 2ª seção,RO
Ryan Da Mata,172.***.***-80,20.0,2003-06-17,"rodovia de porto, 90",marieta 2ª seção,GO
Emilly Ribeiro,584.***.***-05,22.0,2002-03-16,"parque de gomes, 71",mala e cuia,PA
Bernardo Pinto,217.***.***-12,94.0,1929-10-07,"esplanada de moura, 30",vila petropolis,PA
Nicole Peixoto,829.***.***-89,68.0,1956-12-02,distrito moraes,indaiá,MS
Isaac Da Conceição,867.***.***-85,75.0,1948-11-10,"lago da luz, 59",suzana,AM
Davi Lucca Santos,571.***.***-73,62.0,1962-01-22,"favela beatriz da costa, 77",antonio ribeiro de abreu 1ª seção,RJ
Paulo Lopes,186.***.***-11,67.0,1956-05-05,"passarela davi lucca lopes, 37",ernesto nascimento,MG
Sophie Vieira,938.***.***-83,36.0,1987-06-09,"vereda de da mota, 564",jaqueline,MA
Rodrigo Da Cruz,648.***.***-11,51.0,1973-01-20,"favela costa, 372",serra,GO
Sr. Samuel Barbosa,903.***.***-23,30.0,1993-12-08,"distrito jesus, 34",vila rica,RS
Dr. Cauê Ramos,109.***.***-34,70.0,1953-07-26,"viela de castro, 27",álvaro camargos,DF
Bruno Jesus,354.***.***-42,27.0,1997-03-19,"campo moreira, 48",tirol,RN
Lívia Correia,843.***.***-65,52.0,1972-01-20,"favela de da rocha, 6",carlos prates,MS
Enrico Da Rocha,241.***.***-05,26.0,1997-08-11,condomínio maria julia cavalcanti,vila são dimas,PA
Rafaela Aragão,269.***.***-22,73.0,1950-06-18,chácara maria fernanda castro,marajó,PB
Dr. Marcos Vinicius Farias,475.***.***-80,88.0,1936-01-19,ladeira castro,jardim são josé,MA
Larissa Lopes,015.***.***-12,78.0,1946-03-27,"largo cavalcanti, 96",floramar,SC
Isadora Carvalho,917.***.***-13,99.0,1924-09-06,"pátio de da paz, 57",são joão,SC
Sr. Vitor Da Rocha,234.***.***-51,77.0,1946-05-21,"recanto de novaes, 32",serra do curral,TO
Isadora Pereira,501.***.***-06,92.0,1932-01-08,"jardim stella da costa, 91",pompéia,BA
Dr. Bernardo Da Cunha,147.***.***-79,50.0,1973-10-24,"residencial marina azevedo, 89",lagoinha leblon,MT
Gabrielly Mendes,954.***.***-50,46.0,1977-04-13,"praça joão rezende, 30",céu azul,RJ
Sr. Bruno Da Mata,473.***.***-99,94.0,1930-03-18,"chácara alice ferreira, 678",vila calafate,TO
Breno Rocha,237.***.***-52,60.0,1964-05-01,estação de rodrigues,tres marias,PA
Luigi Ferreira,148.***.***-19,69.0,1954-08-11,trevo vieira,nossa senhora aparecida,AP
Davi Lucca Da Cruz,862.***.***-78,71.0,1952-08-19,"sítio de novaes, 75",vila são dimas,AL
Henrique Almeida,824.***.***-31,59.0,1964-10-26,"área da costa, 29",dona clara,MS
Dr. Vitor Hugo Caldeira,943.***.***-42,36.0,1988-01-29,"feira da costa, 17",vila dos anjos,SE
Alexia Souza,348.***.***-48,70.0,1953-09-20,"lagoa alves, 97",buritis,MT
Luiza Azevedo,683.***.***-92,73.0,1950-10-15,"recanto elisa da mota, 8",alípio de melo,AL
Dr. Kaique Da Mota,143.***.***-60,92.0,1932-10-03,"setor vinicius moraes, 475",nossa senhora aparecida,TO
Laura Lima,051.***.***-41,82.0,1941-07-19,"área oliveira, 91",são paulo,SP
Raul Rodrigues,039.***.***-05,55.0,1969-03-10,"aeroporto da rocha, 499",estrela,BA
Joaquim Melo,305.***.***-21,91.0,1932-11-23,"ladeira ribeiro, 6",vila santo antônio,PE
Benjamin Cardoso,054.***.***-44,80.0,1943-09-08,"trevo da cunha, 2",são bento,AL
João Miguel Lopes,741.***.***-26,33.0,1990-05-07,"via de nunes, 63",olaria,ES
Letícia Da Mota,587.***.***-02,24.0,2000-02-26,"travessa de lopes, 205",mariano de abreu,CE
Levi Da Rocha,840.***.***-92,40.0,1983-10-09,"via brenda cunha, 49",vila da ária,AC
Lorena Caldeira,625.***.***-60,53.0,1971-02-02,"praça ana luiza fernandes, 5",conjunto jatoba,BA
Cauê Nogueira,473.***.***-64,96.0,1927-08-30,recanto melo,conjunto providencia,ES
Sra. Yasmin Ferreira,805.***.***-68,85.0,1938-08-29,"lago de da cunha, 6",custodinha,RN
Nicole Almeida,529.***.***-79,90.0,1934-03-05,chácara joão gabriel nogueira,goiania,MG
Fernando Pereira,560.***.***-59,47.0,1977-03-11,"trecho de rodrigues, 659",alto das antenas,PR
Breno Pereira,916.***.***-91,28.0,1995-08-09,"residencial gabriela azevedo, 35",vila rica,PI
Clara Dias,190.***.***-50,38.0,1985-11-16,"conjunto da conceição, 39",outro,DF
Dra. Milena Vieira,237.***.***-87,69.0,1954-09-16,"campo camila das neves, 14",granja de freitas,MG
Vitor Gabriel Porto,394.***.***-43,86.0,1937-06-14,"residencial luiza correia, 598",savassi,ES
Sr. Erick Da Rosa,971.***.***-84,25.0,1998-12-14,núcleo de caldeira,vila são joão batista,AL
Marcos Vinicius Da Cunha,709.***.***-04,32.0,1991-07-25,"lagoa de rodrigues, 23",vila nova,RN
Sra. Nina Pires,651.***.***-26,44.0,1979-09-23,"viela eloah cunha, 42",vila suzana primeira seção,RS
Felipe Ribeiro,259.***.***-60,77.0,1946-10-24,"núcleo maria julia cunha, 21",vila santa rosa,PE
Maria Julia Porto,864.***.***-07,35.0,1989-01-18,alameda nascimento,vila suzana primeira seção,GO
Pedro Cardoso,125.***.***-50,35.0,1988-05-28,"travessa de da rosa, 86",itaipu,PA
Rebeca Da Paz,047.***.***-66,57.0,1966-04-11,"sítio de costa, 5",pantanal,TO
Enrico Gonçalves,637.***.***-46,84.0,1940-01-24,campo bernardo barros,conjunto são francisco de assis,MG
Murilo Campos,031.***.***-22,97.0,1926-09-20,recanto silva,joão paulo ii,SP
Olivia Porto,608.***.***-65,38.0,1985-12-23,"conjunto almeida, 3",bela vitoria,AC
Mirella Da Conceição,854.***.***-05,39.0,1984-11-21,"pátio joão lucas cardoso, 77",maria tereza,AM
Stephany Cardoso,453.***.***-46,89.0,1934-06-09,"praia luiz gustavo da luz, 83",são joão batista,RO
Sr. Enrico Melo,829.***.***-89,99.0,1924-09-05,"esplanada farias, 252",caetano furquim,GO
Dr. Gabriel Souza,432.***.***-52,23.0,2000-06-21,"rodovia de costela, 116",são geraldo,CE
Davi Jesus,914.***.***-70,51.0,1972-11-27,"quadra vieira, 230",cdi jatoba,RO
Guilherme Freitas,517.***.***-07,43.0,1980-07-12,"trecho de caldeira, 369",santa sofia,SE
Theo Costa,705.***.***-49,81.0,1942-07-20,"largo joão santos, 10",vila batik,RN
Dr. Gustavo Henrique Das Neves,430.***.***-00,98.0,1925-11-26,"setor juliana fogaça, 605",piraja,MA
Maria Luiza Gomes,821.***.***-53,80.0,1944-11-02,"área ana vitória martins, 56",xodo-marize,BA
Davi Lucas Peixoto,610.***.***-07,36.0,1987-04-07,"área thomas moraes, 58",canaa,RJ
Bruna Almeida,610.***.***-57,72.0,1952-03-26,"chácara mendes, 64",varzea da palma,PR
Juliana Ramos,846.***.***-05,20.0,2003-07-11,"vale de duarte, 5",horto florestal,AM
Sarah Nascimento,560.***.***-99,77.0,1946-06-30,"alameda das neves, 1",planalto,MT
Brenda Da Luz,037.***.***-22,74.0,1950-03-11,"viela danilo farias, 54",lagoa,PE
Heloísa Da Costa,648.***.***-19,80.0,1943-08-12,"favela correia, 6",vila dos anjos,SE
Emanuella Araújo,758.***.***-82,64.0,1960-02-21,rodovia maria julia peixoto,jardim guanabara,AC
Vitor Viana,036.***.***-34,65.0,1958-04-13,"trecho de oliveira, 41",urca,AC
Yago Lopes,720.***.***-59,75.0,1948-05-05,"lagoa danilo fogaça, 756",nova gameleira,RO
Lívia Souza,308.***.***-50,35.0,1988-09-11,"colônia de correia, 93",laranjeiras,CE
Gabriela Cavalcanti,359.***.***-41,56.0,1967-04-05,"setor oliveira, 4",são josé,MA
Enzo Nogueira,309.***.***-00,82.0,1942-01-30,morro de ferreira,vila são joão batista,MG
Dr. Ian Barbosa,412.***.***-03,90.0,1933-04-10,"alameda eduardo barros, 60",gameleira,PI
Gabriela Rocha,348.***.***-35,34.0,1989-11-17,"área joaquim nogueira, 98",pedreira padro lopes,MA
Maria Julia Martins,576.***.***-12,81.0,1942-11-12,"loteamento de nunes, 83",jatobá,PB
Dra. Marina Santos,950.***.***-02,57.0,1966-04-11,"viela alana souza, 456",união,DF
Heloísa Teixeira,635.***.***-07,87.0,1936-05-23,"viela de da cruz, 61",bonsucesso,PA
Paulo Farias,593.***.***-15,72.0,1951-11-18,"esplanada thomas pires, 33",providencia,AP
Gabrielly Cardoso,127.***.***-43,95.0,1928-07-26,estrada da cruz,aparecida,AP
Davi Aragão,598.***.***-20,35.0,1988-09-24,"residencial de cardoso, 66",vila santo antônio,SE
Yago Peixoto,380.***.***-05,95.0,1929-02-12,"condomínio de nunes, 436",vila betânia,PI
Erick Da Conceição,983.***.***-83,60.0,1963-08-25,"morro nunes, 657",ipe,CE
Isis Araújo,216.***.***-13,69.0,1954-06-08,"praia de campos, 82",vila oeste,SP
Dr. Nicolas Rezende,460.***.***-49,42.0,1982-07-01,"esplanada marcela castro, 36",flavio de oliveira,PA
Sr. Samuel Nascimento,914.***.***-24,65.0,1958-12-09,setor luana ramos,nova pampulha,AC
Sra. Maria Fernanda Barbosa,718.***.***-03,90.0,1934-11-02,"esplanada pedro nascimento, 71",vila são paulo,GO
Luiz Felipe Farias,069.***.***-74,80.0,1943-04-26,"favela kaique fogaça, 19",castelo,AL
Sr. Calebe Silva,402.***.***-49,61.0,1962-05-24,rodovia de castro,santa branca,ES
Emanuella Gonçalves,107.***.***-02,69.0,1954-07-17,Endereço inválido,Desconhecido,Desconhecido
Augusto Oliveira,246.***.***-17,32.0,1992-02-27,"colônia costa, 81",vera cruz,RO
Pedro Azevedo,953.***.***-65,68.0,1956-03-02,"vale vieira, 49",comiteco,RS
Sra. Maria Luiza Fogaça,650.***.***-06,67.0,1956-12-12,"recanto de moreira, 426",santo agostinho,MT
Eduarda Oliveira,365.***.***-83,58.0,1965-09-27,"sítio clarice sales, 99",silveira,PB
Paulo Ramos,490.***.***-43,21.0,2002-11-13,sítio azevedo,vila mantiqueira,DF
Beatriz Pires,275.***.***-21,34.0,1990-03-11,recanto de castro,centro,MA
Fernando Azevedo,790.***.***-99,28.0,1995-05-19,"estação rafael nunes, 90",jardim são josé,RO
Eloah Silva,037.***.***-61,89.0,1935-03-30,"viela da rocha, 160",barão homem de melo 2ª seção,BA
Caio Araújo,407.***.***-14,34.0,1989-12-18,"morro ribeiro, 11",casa branca,GO
Sra. Valentina Sales,269.***.***-31,84.0,1939-08-08,"sítio ramos, 73",cachoeirinha,MG
Melissa Cunha,719.***.***-73,25.0,1999-02-17,"ladeira luiza pinto, 9",conjunto minas caixa,MT
Laís Da Paz,139.***.***-33,97.0,1927-01-09,"lagoa cavalcanti, 12",vila ecológica,SP
Heitor Silveira,183.***.***-89,89.0,1935-02-19,avenida azevedo,santa maria,MA
Fernanda Moraes,064.***.***-44,45.0,1979-03-18,"avenida rocha, 13",alta tensão 2ª seção,PI
Alana Souza,801.***.***-42,50.0,1973-12-06,"praia moreira, 1",cardoso,SE
Srta. Caroline Da Rosa,192.***.***-98,51.0,1972-05-26,"passarela rocha, 96",buraco quente,SP
Stephany Vieira,682.***.***-22,46.0,1977-05-22,"travessa guilherme carvalho, 7",jonas veiga,MS
Enzo Barros,794.***.***-16,67.0,1957-01-13,"estação fernandes, 85",nova floresta,GO
Caroline Peixoto,036.***.***-30,67.0,1957-11-02,"loteamento thales pires, 51",vila união,RR
Maria Vitória Novaes,804.***.***-58,39.0,1984-08-08,"via vieira, 26",ouro preto,GO
Bruna Moura,240.***.***-06,94.0,1930-02-13,"quadra amanda martins, 4",universo,MG
Maitê Peixoto,501.***.***-58,61.0,1962-04-07,"distrito caldeira, 95",serra,PI
Dr. Anthony Barbosa,749.***.***-20,20.0,2004-03-18,"distrito de fogaça, 13",pompéia,AP
Alexandre Jesus,269.***.***-34,69.0,1955-03-01,"aeroporto de fogaça, 74",vila santa monica 2ª seção,BA
Marcos Vinicius Campos,421.***.***-22,45.0,1978-11-19,"trecho de barbosa, 7",são josé,RJ
Rebeca Da Rosa,640.***.***-22,11.0,2013-01-01,trecho da mata,barroca,SC
Henrique Monteiro,378.***.***-73,6.0,2018-03-09,"largo theo silva, 91",nossa senhora da conceição,SP
Luigi Da Rosa,316.***.***-87,5.0,2018-08-23,"pátio de rocha, 4",cinquentenário,MG
Melissa Dias,170.***.***-05,10.0,2014-02-21,"quadra isabel castro, 40",biquinhas,PI
Igor Ramos,695.***.***-77,6.0,2017-06-29,"lago de caldeira, 4",beija flor,AC
Alice Cardoso,123.***.***-09,4.0,2019-10-14,"viaduto araújo, 76",são bento,PR
Breno Freitas,205.***.***-41,16.0,2008-03-03,"loteamento de ferreira, 24",nova suíça,PA
Ana Lívia Da Paz,347.***.***-69,18.0,2006-09-01,"ladeira gomes, 10",califórnia,RJ
Sr. Daniel Cavalcanti,609.***.***-33,6.0,2018-01-09,"núcleo de da paz, 894",sion,GO
Sr. Pedro Cavalcanti,863.***.***-84,1.0,2022-12-20,recanto de melo,nossa senhora do rosário,BA
Nome inválido,930.***.***-38,38.0,1985-10-14,"colônia da rocha, 31",jardim américa,RN
Nome inválido,146.***.***-00,93.0,1930-08-27,"estrada nogueira, 21",atila de paiva,PB
Renan Da Luz,294.***.***-23,74.0,1949-07-29,rua não cadastrada,bairro não cadastrado,PR
Caroline Costa,401.***.***-88,21.0,2003-02-20,rua não cadastrada,bairro não cadastrado,RS
Giovanna Farias,241.***.***-35,40.0,1983-08-14,rua não cadastrada,bairro não cadastrado,RJ
Maitê Araújo,496.***.***-55,52.0,1971-07-10,rua não cadastrada,bairro não cadastrado,RS
Lavínia Da Mota,039.***.***-00,21.0,2003-01-31,rua não cadastrada,bairro não cadastrado,ES
Igor Cardoso,345.***.***-05,49.0,1975-01-25,rua não cadastrada,bairro não cadastrado,AM
Maria Julia Campos,018.***.***-13,98.0,1925-08-08,rua não cadastrada,bairro não cadastrado,MG
Marcos Vinicius Das Neves,617.***.***-02,86.0,1938-03-23,rua não cadastrada,bairro não cadastrado,RO
Isabel Barbosa,986.***.***-02,26.0,1997-12-17,rua não cadastrada,bairro não cadastrado,MG
Ryan Gomes,861.***.***-60,57.0,1966-05-17,rua não cadastrada,bairro não cadastrado,SP
Breno Duarte,463.***.***-98,66.0,1957-10-07,rua não cadastrada,bairro não cadastrado,TO
Eloah Peixoto,064.***.***-16,79.0,1944-05-23,rua não cadastrada,bairro não cadastrado,MG
Luiza Sales,726.***.***-80,56.0,1968-05-01,rua não cadastrada,bairro não cadastrado,GO
Dr. Alexandre Sales,427.***.***-40,87.0,1936-06-05,rua não cadastrada,bairro não cadastrado,SP
Alícia Campos,162.***.***-94,49.0,1975-03-20,rua não cadastrada,bairro não cadastrado,GO
Luigi Porto,826.***.***-83,43.0,1980-08-18,"parque de santos, 88",são joão,PI
